BatterSide,Umpire,PlateLocSide,PlateLocHeight,PitchCall
Left,Ump1,-0.5865222045,2.114425579,StrikeCalled
Right,Ump1,0.05436224414,2.396662819,StrikeCalled
Left,Ump1,0.6090910894,1.677085826,StrikeCalled
Left,Ump1,0.5874713684,0.8405780016,BallCalled
Left,Ump1,2.088418689,1.931794225,BallCalled
Left,Ump1,-1.065850556,1.4915649180000001,BallCalled
Left,Ump1,-1.01405279,2.009815782,StrikeCalled
Left,Ump1,1.656669827,2.082690185,BallCalled
Left,Ump1,1.451746309,1.618710661,BallCalled
Left,Ump1,0.8037299983,1.9053990230000002,StrikeCalled
Right,Ump1,-1.3441434730000001,3.30940935,BallCalled
Right,Ump1,-0.21223688079999997,1.9357238999999997,StrikeCalled
Right,Ump1,-0.6472458286,1.477095824,BallCalled
Right,Ump1,-0.5393475061,2.442479824,StrikeCalled
Right,Ump1,0.06894123653,0.8818612487,BallCalled
Right,Ump1,0.8292008890000001,3.669242976,BallCalled
Right,Ump1,-0.4506645515,2.006325391,StrikeCalled
Right,Ump1,-0.3694181703,1.979741545,StrikeCalled
Right,Ump1,-1.00124878,1.0039700790000001,BallCalled
Right,Ump1,-0.13315256820000002,3.632068046,BallCalled
Right,Ump1,0.9158410019,3.633849063,BallCalled
Right,Ump1,1.743673,2.4776658169999997,BallCalled
Left,Ump1,1.677877555,-0.4534720416,BallCalled
Left,Ump1,-0.0016143044,1.953166784,StrikeCalled
Left,Ump1,0.992242175,2.0282526180000002,StrikeCalled
Left,Ump1,0.8226837574,0.448637182,BallCalled
Right,Ump1,-0.19167418989999999,1.4162150169999999,BallCalled
Right,Ump1,-1.812882775,2.702664852,BallCalled
Right,Ump1,0.3290573574,1.056451176,BallCalled
Right,Ump1,-0.9402393977,3.387395162,BallCalled
Left,Ump1,-0.7705085801999999,3.482327822,BallCalled
Left,Ump1,1.121197639,1.41908715,BallCalled
Left,Ump1,1.620889194,2.927951278,BallCalled
Left,Ump1,-0.23226212300000001,1.350950699,BallCalled
Left,Ump1,1.49120705,1.641205962,BallCalled
Left,Ump1,0.3643384081,1.8474623780000001,StrikeCalled
Left,Ump1,0.7793166336,0.8368587231999999,BallCalled
Left,Ump1,1.100084417,1.177204704,BallCalled
Left,Ump1,2.626567417,5.630242633,BallCalled
Left,Ump1,1.712628314,4.194631711,BallCalled
Right,Ump1,1.097933056,1.802022864,StrikeCalled
Right,Ump1,-1.1685990720000001,0.7042810969,BallCalled
Left,Ump1,1.600728502,1.8806775569999998,BallCalled
Left,Ump1,1.4008407180000002,1.200362561,BallCalled
Left,Ump1,-1.425165045,0.5887466775,BallCalled
Left,Ump1,-0.754396893,1.757032105,StrikeCalled
Left,Ump1,-0.07332412662,0.5181560338000001,BallCalled
Left,Ump1,2.059219815,1.214842115,BallCalled
Left,Ump1,1.062577883,2.062175786,BallCalled
Left,Ump1,0.6935050376999999,0.7339797417,StrikeCalled
Left,Ump1,2.346811674,-0.7054598583,BallCalled
Right,Ump1,-1.302599756,0.7590751415000001,BallCalled
Left,Ump1,0.42701702869999997,3.1396950360000004,BallCalled
Left,Ump1,0.7156984220999999,0.9531896436,BallCalled
Left,Ump1,0.9136618856000001,2.493133063,StrikeCalled
Left,Ump1,2.130101549,0.721529813,BallCalled
Left,Ump1,0.3394316947,2.442701967,StrikeCalled
Left,Ump1,0.7171455344,1.180970593,BallCalled
Left,Ump1,0.8452693109,3.299658214,BallCalled
Left,Ump1,1.4149242130000002,3.0043585619999997,BallCalled
Left,Ump1,1.799638481,4.5166055510000005,BallCalled
Left,Ump1,0.9534190491,1.755451436,StrikeCalled
Left,Ump1,1.148744761,3.667884185,BallCalled
Right,Ump1,0.06672611668,1.906290401,StrikeCalled
Right,Ump1,-1.386801424,1.610653574,BallCalled
Right,Ump1,-0.030645654260000006,3.7369256660000003,BallCalled
Right,Ump1,0.4251949283,3.298653507,StrikeCalled
Right,Ump1,-0.1823523499,0.1910068325,BallCalled
Right,Ump1,-0.6710073864,0.7039283881,BallCalled
Right,Ump1,-0.8331491948,1.7590297990000001,StrikeCalled
Right,Ump1,-1.09308437,0.8584525253,BallCalled
Right,Ump1,-1.526509801,1.7557038040000001,BallCalled
Right,Ump1,-1.118650399,1.395249449,BallCalled
Right,Ump1,0.40796750020000005,1.05061299,BallCalled
Right,Ump1,-0.8666184740999999,-0.2502636643,BallCalled
Left,Ump1,-1.296174878,2.347420722,BallCalled
Left,Ump1,-0.1121533507,2.2014406109999998,StrikeCalled
Left,Ump1,-0.39345699759999997,0.8602645484,BallCalled
Left,Ump1,0.5244946294,1.9242633740000001,StrikeCalled
Right,Ump1,-1.4989394280000001,0.7835451032999999,BallCalled
Right,Ump1,-1.4024364880000002,0.9401299268000001,BallCalled
Right,Ump1,0.3639641761,-0.7368503902,BallCalled
Right,Ump1,-0.5792603313,2.692275025,StrikeCalled
Right,Ump1,-0.7007714839,3.0820481839999996,BallCalled
Left,Ump1,0.07944018235,3.1118270060000004,BallCalled
Left,Ump1,0.9610096029999999,0.005833096734,BallCalled
Left,Ump1,-1.046789416,1.0664766509999999,BallCalled
